"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150255","Search SCL feature by mandatory for valorization","edge","Tue Aug 19 11:38:51 IST 2025","passed","Tue Aug 19 11:41:21 IST 2025","","generic_search\searchSCLByValorization.spec.ts","",""
"","367399","Edit SCL feature value","edge","Tue Aug 19 13:29:40 IST 2025","failed","Tue Aug 19 13:35:47 IST 2025","","feature_value_SCL\editSCLFeatureValue.spec.ts","",""
"","140734","Search and Export Mapping Excel Data when Toggle Off","edge","Tue Aug 19 12:03:55 IST 2025","passed","Tue Aug 19 12:06:16 IST 2025","","generic_search_mapping_mode\exportForMappingToggleOff.spec.ts","",""
"","40067","Invalid Login Test","edge","Tue Aug 19 12:14:20 IST 2025","passed","Tue Aug 19 12:15:00 IST 2025","","login\loginWithInvalidCredentials.spec.ts","",""
"","128577","Search WPC features","edge","Tue Aug 19 11:49:01 IST 2025","passed","Tue Aug 19 11:51:09 IST 2025","","generic_search\searchWPCByFamilyDescription.spec.ts","",""
"","123223","hierarchy search by STV structure edit option","edge","Tue Aug 19 12:02:56 IST 2025","passed","Tue Aug 19 12:04:59 IST 2025","","generic_search_hierarchy_mode\stvStructureEditOption.spec.ts","",""
"","176765","Search SCL by Language","edge","Tue Aug 19 11:35:31 IST 2025","passed","Tue Aug 19 11:38:28 IST 2025","","generic_search\searchSCLByLanguage.spec.ts","",""
"","195342","Edit Transversal Model Pack Search","edge","Tue Aug 19 11:55:32 IST 2025","failed","Tue Aug 19 11:58:47 IST 2025","","generic_search\transversal_model_pack_search\editTransversalModelPackSearchRecycle.spec.ts","",""
"","170131","Search SCL by Nature","edge","Tue Aug 19 11:35:31 IST 2025","passed","Tue Aug 19 11:38:21 IST 2025","","generic_search\searchSCLByNature.spec.ts","",""
"","125475","Search SCL","edge","Tue Aug 19 12:13:17 IST 2025","passed","Tue Aug 19 12:15:22 IST 2025","","generic_search_mapping_mode\searchMappingSCLType.spec.ts","",""
"","140206","generic search by SCL Hierarchy for ToggleOff","edge","Tue Aug 19 12:00:50 IST 2025","passed","Tue Aug 19 12:03:10 IST 2025","","generic_search_hierarchy_mode\searchSCLHierarchyToggleOff.spec.ts","",""
"","181828","edit WPS feature value","edge","Tue Aug 19 13:33:55 IST 2025","passed","Tue Aug 19 13:36:57 IST 2025","","feature_value_WPC\editWPCFeatureFamily.spec.ts","",""
"","206295","Search SCL By SI Explicit","edge","Tue Aug 19 12:10:59 IST 2025","passed","Tue Aug 19 12:14:26 IST 2025","","generic_search_mapping_mode\searchMappingSCLBySiExplicit.spec.ts","",""
"","199158","Search SCL By SI Exclusion","edge","Tue Aug 19 12:10:56 IST 2025","passed","Tue Aug 19 12:14:15 IST 2025","","generic_search_mapping_mode\searchMappingSCLBySiExclusion.spec.ts","",""
"","115693","Create STV feature value","edge","Tue Aug 19 11:21:36 IST 2025","passed","Tue Aug 19 11:23:32 IST 2025","","feature_value_STV\createSTVClassCode.spec.ts","",""
"","175426","Search SCL By SI Exclusion","edge","Tue Aug 19 11:38:22 IST 2025","passed","Tue Aug 19 11:41:18 IST 2025","","generic_search\searchSCLBySiExclusion.spec.ts","",""
"","406870","edit WPS feature value","edge","Tue Aug 19 11:25:54 IST 2025","passed","Tue Aug 19 11:32:41 IST 2025","","feature_value_WPC\editWPCFeatureValue.spec.ts","",""
"","226874","Edit Transversal Model Pack Search","edge","Tue Aug 19 11:54:22 IST 2025","failed","Tue Aug 19 11:58:09 IST 2025","","generic_search\transversal_model_pack_search\editTransversalModelPackSearch.spec.ts","",""
"","136238","Search SCL by Nature","edge","Tue Aug 19 12:10:55 IST 2025","passed","Tue Aug 19 12:13:11 IST 2025","","generic_search_mapping_mode\searchMappingSCLByNature.spec.ts","",""
"","96263","Search WPC features","edge","Tue Aug 19 11:47:51 IST 2025","passed","Tue Aug 19 11:49:27 IST 2025","","generic_search\searchWPCByFamilyCode.spec.ts","",""
"","102947","Search SCL feature","edge","Tue Aug 19 11:31:01 IST 2025","passed","Tue Aug 19 11:32:44 IST 2025","","generic_search\searchSCLByCategory.spec.ts","",""
"","210580","Create STV class code","edge","Tue Aug 19 11:23:35 IST 2025","passed","Tue Aug 19 11:27:06 IST 2025","","feature_value_STV\editSTVSalesCode.spec.ts","",""
"","95483","Create STV search value","edge","Tue Aug 19 11:46:15 IST 2025","passed","Tue Aug 19 11:47:50 IST 2025","","generic_search\searchSTVFeatureSalesCode.spec.ts","",""
"","157889","Search WPC feature","edge","Tue Aug 19 11:52:49 IST 2025","passed","Tue Aug 19 11:55:27 IST 2025","","generic_search\searchWPCFeature.spec.ts","",""
"","102294","Search mapping SCL feature","edge","Tue Aug 19 12:07:06 IST 2025","passed","Tue Aug 19 12:08:48 IST 2025","","generic_search_mapping_mode\searchByUsingSCLCode_Mapping_FF.spec.ts","",""
"","175618","Create STV feature value","edge","Tue Aug 19 13:33:54 IST 2025","passed","Tue Aug 19 13:36:49 IST 2025","","feature_value_STV\createSTVSalesCode.spec.ts","",""
"","111780","generic Mapping search of SCL","edge","Tue Aug 19 12:06:55 IST 2025","passed","Tue Aug 19 12:08:47 IST 2025","","generic_search_mapping_mode\searchByUsingSCLCode_Mapping_FF_FV.spec.ts","",""
"","85703","Search SCL","edge","Tue Aug 19 12:00:34 IST 2025","passed","Tue Aug 19 12:02:00 IST 2025","","generic_search_hierarchy_mode\searchHierarchySCLCategory.spec.ts","",""
"","112876","Create STV search value","edge","Tue Aug 19 11:44:21 IST 2025","passed","Tue Aug 19 11:46:14 IST 2025","","generic_search\searchSTVByFeatureCode.spec.ts","",""
"","109221","Create WPS feature value","edge","Tue Aug 19 11:24:00 IST 2025","passed","Tue Aug 19 11:25:50 IST 2025","","feature_value_WPC\createWPCFeatureFamily.spec.ts","",""
"","98221","Search and Export Excel Data when Toggle On","edge","Tue Aug 19 11:29:18 IST 2025","passed","Tue Aug 19 11:30:56 IST 2025","","generic_search\searchExportDataToggleOn.spec.ts","",""
"","89508","generic search by SCL for MANDATORY BYPASS","edge","Tue Aug 19 11:29:26 IST 2025","passed","Tue Aug 19 11:30:55 IST 2025","","generic_search\searchSCLByBypass.spec.ts","",""
"","113218","Search and Export Excel Data when Toggle Off","edge","Tue Aug 19 11:27:24 IST 2025","passed","Tue Aug 19 11:29:17 IST 2025","","generic_search\searchExportDataToggleOff.spec.ts","",""
"","93076","generic Hierarchy search of All Family","edge","Tue Aug 19 11:57:35 IST 2025","passed","Tue Aug 19 11:59:08 IST 2025","","generic_search_hierarchy_mode\searchALLFamilyDescription.spec.ts","",""
"","231943","Edit SCL feature value","edge","Tue Aug 19 13:29:40 IST 2025","failed","Tue Aug 19 13:33:32 IST 2025","","feature_value_SCL\editSCLFeatureFamily.spec.ts","",""
"","160505","Search SCL feature","edge","Tue Aug 19 11:32:47 IST 2025","passed","Tue Aug 19 11:35:27 IST 2025","","generic_search\searchSCLByFeatureValueDes.spec.ts","",""
"","139085","Create STV search value","edge","Tue Aug 19 13:33:56 IST 2025","passed","Tue Aug 19 13:36:15 IST 2025","","generic_search\searchSTVFeatureClassCodeDesc.spec.ts","",""
"","88038","Create STV search value","edge","Tue Aug 19 11:46:16 IST 2025","passed","Tue Aug 19 11:47:44 IST 2025","","generic_search\searchSTVFeatureSalesCodeDesc.spec.ts","",""
"","135075","generic search by WPC for BUSINESS type","edge","Tue Aug 19 11:46:21 IST 2025","passed","Tue Aug 19 11:48:36 IST 2025","","generic_search\searchWPCByBusinessType.spec.ts","",""
"","181489","SCL Search Mandatory responses","edge","Tue Aug 19 11:35:31 IST 2025","passed","Tue Aug 19 11:38:32 IST 2025","","generic_search\searchSCLByMandatoryResponce.spec.ts","",""
"","120894","Search and Export Mapping Excel Data when Toggle On","edge","Tue Aug 19 12:04:40 IST 2025","passed","Tue Aug 19 12:06:41 IST 2025","","generic_search_mapping_mode\exportForMappingToggleOn.spec.ts","",""
"","121644","Search Mapping SCL by Code to check Mappig date","edge","Tue Aug 19 12:05:03 IST 2025","passed","Tue Aug 19 12:07:05 IST 2025","","generic_search_mapping_mode\incident02.spec.ts","",""
"","112620","Search mapping SCL feature with WPC Code","edge","Tue Aug 19 12:08:58 IST 2025","passed","Tue Aug 19 12:10:50 IST 2025","","generic_search_mapping_mode\searchByUsingWPCCode_Mapping_FF.spec.ts","",""
"","135930","generic Hierarchy search of SCL","edge","Tue Aug 19 12:00:33 IST 2025","passed","Tue Aug 19 12:02:49 IST 2025","","generic_search_hierarchy_mode\searchSCLDescription.spec.ts","",""
"","157186","generic search by WPC for Project Type","edge","Tue Aug 19 11:51:43 IST 2025","passed","Tue Aug 19 11:54:20 IST 2025","","generic_search\searchWPCByProjectType.spec.ts","",""
"","136549","generic search by WPC for PACKAGE TYPE","edge","Tue Aug 19 11:51:41 IST 2025","passed","Tue Aug 19 11:53:58 IST 2025","","generic_search\searchWPCByPackageType.spec.ts","",""
"","172018","Search SCL By Transversal","edge","Tue Aug 19 11:38:30 IST 2025","passed","Tue Aug 19 11:41:22 IST 2025","","generic_search\searchSCLByTransversal.spec.ts","",""
"","97774","Search Hierarchy WPC feature","edge","Tue Aug 19 11:59:12 IST 2025","passed","Tue Aug 19 12:00:49 IST 2025","","generic_search_hierarchy_mode\searchByWPCStructure_FF.spec.ts","",""
"","187414","Search SCL","edge","Tue Aug 19 11:41:24 IST 2025","passed","Tue Aug 19 11:44:32 IST 2025","","generic_search\searchSCLFeatureRank.spec.ts","",""
"","180370","SCL Search Mandatory Structure","edge","Tue Aug 19 11:35:31 IST 2025","passed","Tue Aug 19 11:38:31 IST 2025","","generic_search\searchSCLByMandatoryStructure.spec.ts","",""
"","133468","Search Mapping SCL by Code","edge","Tue Aug 19 12:06:24 IST 2025","passed","Tue Aug 19 12:08:37 IST 2025","","generic_search_mapping_mode\searchByCode_Mapping_FF.spec.ts","",""
"","127429","generic search by WPC for Feature Code","edge","Tue Aug 19 11:49:34 IST 2025","passed","Tue Aug 19 11:51:41 IST 2025","","generic_search\searchWPCByFeatureCode.spec.ts","",""
"","99829","hierarchy search by scl structure edit option","edge","Tue Aug 19 11:57:33 IST 2025","passed","Tue Aug 19 11:59:13 IST 2025","","generic_search_hierarchy_mode\sclStructureEditOption.spec.ts","",""
"","207236","Create Transversal Model Pack Search","edge","Tue Aug 19 11:53:58 IST 2025","failed","Tue Aug 19 11:57:26 IST 2025","","generic_search\transversal_model_pack_search\createTransversalModelPackSearchRemoveTransversal.spec.ts","",""
"","161929","Search SCL feature","edge","Tue Aug 19 11:32:45 IST 2025","passed","Tue Aug 19 11:35:27 IST 2025","","generic_search\searchSCLByFeatureValueCode.spec.ts","",""
"","124853","generic search by WPC for FEATURE CREATOR ID","edge","Tue Aug 19 11:50:43 IST 2025","passed","Tue Aug 19 11:52:48 IST 2025","","generic_search\searchWPCByFeatureCreatorId.spec.ts","",""
"","261389","Create SCL feature family","edge","Tue Aug 19 13:38:36 IST 2025","failed","Tue Aug 19 13:42:57 IST 2025","","feature_value_SCL\createSCLFeatureFamily.spec.ts","",""
"","143179","Search SCL feature by mandatory for valorization","edge","Tue Aug 19 12:10:51 IST 2025","passed","Tue Aug 19 12:13:15 IST 2025","","generic_search_mapping_mode\searchMappingSCLByLanguage.spec.ts","",""
"","103077","Search SCL By Creator Id","edge","Tue Aug 19 11:30:57 IST 2025","passed","Tue Aug 19 11:32:41 IST 2025","","generic_search\searchSCLByCreatorId.spec.ts","",""
"","85690","generic search by SCL","edge","Tue Aug 19 11:30:57 IST 2025","passed","Tue Aug 19 11:32:23 IST 2025","","generic_search\searchSCLByCode.spec.ts","",""
"","1265385","Create Transversal Model Pack Search","edge","Tue Aug 19 13:52:17 IST 2025","failed","Tue Aug 19 14:13:23 IST 2025","","generic_search\transversal_model_pack_search\createTransversalModelPackSearch.spec.ts","",""
"","102297","generic search by WPC for COMPONENT","edge","Tue Aug 19 11:47:48 IST 2025","passed","Tue Aug 19 11:49:30 IST 2025","","generic_search\searchWPCByComponent.spec.ts","",""
"","128978","generic search by WPC for Mapping","edge","Tue Aug 19 12:08:50 IST 2025","passed","Tue Aug 19 12:10:59 IST 2025","","generic_search_mapping_mode\searchByUsingWPCCode_Mapping_FF_FV.spec.ts","",""
"","165052","search scl by feature description","edge","Tue Aug 19 11:32:44 IST 2025","passed","Tue Aug 19 11:35:30 IST 2025","","generic_search\searchSCLByFeatureDescription.spec.ts","",""
"","167342","Search SCL By Transversal","edge","Tue Aug 19 12:13:13 IST 2025","passed","Tue Aug 19 12:16:00 IST 2025","","generic_search_mapping_mode\searchMappingSCLByTransversal.spec.ts","",""
"","122404","Create STV search value","edge","Tue Aug 19 12:08:50 IST 2025","passed","Tue Aug 19 12:10:52 IST 2025","","generic_search_mapping_mode\searchByUsingSTVCode_Mapping_FF.spec.ts","",""
"","117399","generic search by WPC for Family Creator ID","edge","Tue Aug 19 11:48:39 IST 2025","passed","Tue Aug 19 11:50:36 IST 2025","","generic_search\searchWPCByFamilyCreatorId.spec.ts","",""
"","230060","Create SCL feature value","edge","Tue Aug 19 13:29:43 IST 2025","failed","Tue Aug 19 13:33:33 IST 2025","","feature_value_SCL\createSCLFeatureValue.spec.ts","",""
"","157252","generic Hierarchy search of STV","edge","Tue Aug 19 12:01:51 IST 2025","passed","Tue Aug 19 12:04:28 IST 2025","","generic_search_hierarchy_mode\searchSTVDescription.spec.ts","",""
"","174320","Search SCL By SI Explicit","edge","Tue Aug 19 11:38:26 IST 2025","passed","Tue Aug 19 11:41:21 IST 2025","","generic_search\searchSCLBySiExplicit.spec.ts","",""
"","108503","Create STV search value","edge","Tue Aug 19 11:44:32 IST 2025","passed","Tue Aug 19 11:46:20 IST 2025","","generic_search\searchSTVFeatureCreatorID.spec.ts","",""
"","106371","Create STV search value","edge","Tue Aug 19 11:44:29 IST 2025","passed","Tue Aug 19 11:46:16 IST 2025","","generic_search\searchSTVFeatureClassCode.spec.ts","",""
"","95124","Create STV search value","edge","Tue Aug 19 11:58:40 IST 2025","passed","Tue Aug 19 12:00:15 IST 2025","","generic_search_hierarchy_mode\searchByUsingSTV_Hierarchy_FF.spec.ts","",""
"","126395","generic search by WPC for FEATURE APPLICATION","edge","Tue Aug 19 11:49:34 IST 2025","passed","Tue Aug 19 11:51:40 IST 2025","","generic_search\searchWPCByFeatureApplication.spec.ts","",""
"","159205","Search Mapping SCL by Code with Toggle On","edge","Tue Aug 19 12:06:18 IST 2025","passed","Tue Aug 19 12:08:57 IST 2025","","generic_search_mapping_mode\searchByCode_Mapping_FF_FV.spec.ts","",""
"","231701","Create WPS feature value","edge","Tue Aug 19 11:25:32 IST 2025","passed","Tue Aug 19 11:29:24 IST 2025","","feature_value_WPC\createWPCFeatureValue.spec.ts","",""
"","188757","Search SCL","edge","Tue Aug 19 11:41:19 IST 2025","passed","Tue Aug 19 11:44:28 IST 2025","","generic_search\searchSCLFeatureDate.spec.ts","",""
"","146951","generic search by WPC for Feature Description","edge","Tue Aug 19 11:51:24 IST 2025","passed","Tue Aug 19 11:53:51 IST 2025","","generic_search\searchWPCByFeatureDescription.spec.ts","",""
"","223304","Create STV class code","edge","Tue Aug 19 11:21:41 IST 2025","passed","Tue Aug 19 11:25:24 IST 2025","","feature_value_STV\editSTVClassCode.spec.ts","",""
"","148950","Toggle On with Normal search and verify the pagination count","edge","Tue Aug 19 11:59:16 IST 2025","passed","Tue Aug 19 12:01:45 IST 2025","","generic_search_hierarchy_mode\searchHierarchyPaginationCount.spec.ts","",""
"","45284","Valid Login Test","edge","Tue Aug 19 12:15:01 IST 2025","passed","Tue Aug 19 12:15:46 IST 2025","","login\loginWithValidCredentials.spec.ts","",""
"","107479","generic Hierarchy search of WPC","edge","Tue Aug 19 12:02:03 IST 2025","passed","Tue Aug 19 12:03:50 IST 2025","","generic_search_hierarchy_mode\searchWPCDescription.spec.ts","",""
"","190881","edit WPS feature value","edge","Tue Aug 19 12:03:12 IST 2025","passed","Tue Aug 19 12:06:23 IST 2025","","generic_search_hierarchy_mode\toggleOn_WPC_search_edit.spec.ts","",""
"","186055","Search SCL","edge","Tue Aug 19 11:41:25 IST 2025","passed","Tue Aug 19 11:44:31 IST 2025","","generic_search\searchSCLType.spec.ts","",""
"","183510","search scl by feature code","edge","Tue Aug 19 11:32:24 IST 2025","passed","Tue Aug 19 11:35:27 IST 2025","","generic_search\searchSCLByFeatureCode.spec.ts","",""
"","134232","generic Mapping search of STV","edge","Tue Aug 19 12:08:41 IST 2025","passed","Tue Aug 19 12:10:55 IST 2025","","generic_search_mapping_mode\searchByUsingSTVCode_Mapping_FF_FV.spec.ts","",""
"","50869","Login Test","edge","Tue Aug 19 12:14:27 IST 2025","passed","Tue Aug 19 12:15:18 IST 2025","","login\loginWithNonSAroleCredentials.spec.ts","",""
"","177256","generic search by SCL for Toggle","edge","Tue Aug 19 11:41:24 IST 2025","passed","Tue Aug 19 11:44:22 IST 2025","","generic_search\searchSCLToggle.spec.ts","",""
